%time,field0,field1,field2,field3,field4,field5,,,left x,left y,left z,right x,right y ,right z
1422318506768600000,-104340,8940,6932,-106107,-19963,-3106,,,,,,,,
1422318506768630000,-104340,8940,6932,-106107,-19963,-3106,,,,,,,,
1422318506768650000,-104340,8940,6932,-106107,-19963,-3106,,,,,,,,
1422318506768680000,-104340,8940,6932,-106107,-19963,-3106,,,,,,,,
1422318506768700000,-104340,8940,6932,-106107,-19963,-3106,,,,,,,,
1422318506768720000,-104340,8940,6932,-106107,-19963,-3106,,,,,,,,
1422318506768740000,-104340,8940,6932,-106107,-19963,-3106,,,,,,,,
1422318506768760000,-104340,8940,6932,-106107,-19964,-3106,,,,,,,,
1422318506768790000,-104340,8940,6932,-106107,-19963,-3106,,,,,,,,
1422318506768810000,-104340,8940,6932,-106107,-19963,-3106,,,,,,,,
1422318506768840000,-104340,8940,6932,-106107,-19963,-3106,,,,,,,,
1422318506768860000,-104340,8940,6932,-106107,-19963,-3106,,,,,,,,
1422318506768880000,-104340,8940,6932,-106107,-19963,-3106,,,,,,,,
1422318506768900000,-104340,8940,6932,-106107,-19963,-3106,,,,,,,,
1422318506768920000,-104340,8940,6932,-106107,-19963,-3106,,,,,,,,
1422318506768950000,-104340,8940,6932,-106107,-19964,-3106,,,,,,,,
1422318506768970000,-104340,8940,6932,-106107,-19963,-3106,,,,,,,,
1422318506768990000,-104340,8940,6932,-106107,-19963,-3106,,,,,,,,
1422318506769010000,-104340,8940,6932,-106107,-19963,-3106,,,,,,,,
1422318506769030000,-104340,8940,6932,-106107,-19963,-3106,,,,,,,,
1422318506769050000,-104340,8940,6932,-106107,-19963,-3106,,,,,,,,
1422318506769070000,-104340,8940,6932,-106107,-19963,-3106,,,,,,,,
1422318506769090000,-104340,8940,6932,-106107,-19963,-3106,,,,,,,,
